Facility Name,Station ID,Sample Code,Latitude,Longitude,Year,Sample Type,Sample Description,Parameter,Result,Guideline/Screening Levels
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Zinc,0.9 µg/L,30 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Ammonia,<0.01 mg/L,0.3 mg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Total Hardness,"8,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Lead-210,<0.02 Bq/L,0.2 Bq/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Polonium-210,<0.005 Bq/L,0.1 Bq/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Radium-226,<0.005 Bq/L,0.5 Bq/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Thorium-230,<0.01 Bq/L,0.6 Bq/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Total Suspended Solids,"2,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),pH,7.09,6.5 - 9.0
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Arsenic,<0.1 µg/L,5 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Copper,<0.2 µg/L,2 - 4 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Lead,<0.1 µg/L,1 - 7 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Molybdenum,0.8 µg/L,"31,000 µg/L"
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Nickel,<0.1 µg/L,25 - 150 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Selenium,<0.1 µg/L,1 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Uranium,<0.1 µg/L,15 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Zinc,<0.5 µg/L,30 µg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Ammonia,<0.01 mg/L,0.3 mg/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Total Hardness,"8,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Lead-210,<0.02 Bq/L,0.2 Bq/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Polonium-210,<0.005 Bq/L,0.1 Bq/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Radium-226,<0.005 Bq/L,0.5 Bq/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Thorium-230,<0.01 Bq/L,0.6 Bq/L
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),Total Suspended Solids,"1,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01B,58.058,-104.405,2020.0,Water,Lake (surface),pH,7.14,6.5 - 9.0
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Arsenic,<0.1 µg/L,5 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Copper,<0.2 µg/L,2 - 4 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Lead,<0.1 µg/L,1 - 7 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Molybdenum,0.8 µg/L,"31,000 µg/L"
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Nickel,<0.1 µg/L,25 - 150 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Selenium,<0.1 µg/L,1 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Uranium,<0.1 µg/L,15 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Zinc,<0.5 µg/L,30 µg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Ammonia,<0.01 mg/L,0.3 mg/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Total Hardness,"8,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Lead-210,<0.02 Bq/L,0.2 Bq/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Polonium-210,<0.005 Bq/L,0.1 Bq/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Radium-226,<0.005 Bq/L,0.5 Bq/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Thorium-230,<0.01 Bq/L,0.6 Bq/L
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),Total Suspended Solids,"2,000 µg/L",N/A
Cigar Lake Operation,CL01,CL01-W01C,58.058,-104.405,2020.0,Water,Lake (surface),pH,7.15,6.5 - 9.0
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Arsenic,0.04 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Copper,0.19 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Lead,0.003 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Selenium,0.38 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Zinc,4 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Polonium-210,2.2 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL02,CL02-F01A,58.081,-104.501,2020.0,Food,Fish - Northern Pike,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
