window,cell_id,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,area_km2,score,tenure_clear,max_au_ppb,au_sample_count,gold_showings_in_cell,drilled_showings_in_cell,advanced_showings_in_cell,nearest_high_au_km,nearest_drilled_or_advanced_km,near_known_core_km
Central Slave Indin-Colomac-Courageous,cs_-115.50_64.50,-115.5,64.5,-115.4,64.55,-115.45,64.525,26.65,26,True,,0,3,0,0,82.6,8.25,22.3
South Rae / Hearne margin south of MacKay,sr_-112.40_63.30,-112.4,63.3,-112.3,63.35,-112.35,63.325,27.82,25,True,,0,5,0,0,50.64,13.83,98.38
South Rae / Hearne margin south of MacKay,sr_-112.30_63.25,-112.3,63.25,-112.2,63.3,-112.25,63.275,27.86,25,True,,0,19,0,0,53.09,10.73,100.26
East Slave Lac de Gras-MacKay-McCrea,es_-112.00_63.80,-112.0,63.8,-111.9,63.85,-111.95,63.825,27.33,25,True,20.0,1,0,0,0,13.86,41.65,44.4
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_63.25,-111.7,63.25,-111.6,63.3,-111.65,63.275,27.86,25,True,,0,1,1,0,48.5,0.77,88.24
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.40,-111.6,63.4,-111.5,63.45,-111.55,63.425,27.72,25,True,,0,1,1,0,33.52,0.5,70.84
East Slave Lac de Gras-MacKay-McCrea,es_-111.20_64.55,-111.2,64.55,-111.1,64.6,-111.15,64.575,26.6,25,True,2.5,7,0,0,0,6.12,27.53,37.05
East Slave Lac de Gras-MacKay-McCrea,es_-110.80_63.70,-110.8,63.7,-110.7,63.75,-110.75,63.725,27.43,25,True,2.5,6,0,0,0,7.84,37.36,40.72
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_63.95,-109.8,63.95,-109.7,64.0,-109.75,63.975,27.19,25,True,10.0,2,0,0,0,13.42,19.43,69.79
East Slave Lac de Gras-MacKay-McCrea,es_-109.10_63.90,-109.1,63.9,-109.0,63.95,-109.05,63.925,27.23,25,True,25.0,1,0,0,0,13.51,25.2,104.4
East Slave Lac de Gras-MacKay-McCrea,es_-108.50_63.20,-108.5,63.2,-108.4,63.25,-108.45,63.225,27.91,25,True,,0,1,1,0,63.91,1.22,162.2
Central Slave Indin-Colomac-Courageous,cs_-115.80_64.40,-115.8,64.4,-115.7,64.45,-115.75,64.425,26.75,25,True,,0,1,0,1,100.72,2.79,31.93
Central Slave Indin-Colomac-Courageous,cs_-115.60_64.60,-115.6,64.6,-115.5,64.65,-115.55,64.625,26.55,25,True,,0,1,0,0,81.46,4.11,33.46
Central Slave Indin-Colomac-Courageous,cs_-115.40_64.00,-115.4,64.0,-115.3,64.05,-115.35,64.025,27.14,25,True,,0,1,0,0,119.3,4.4,43.5
Central Slave Indin-Colomac-Courageous,cs_-115.40_64.75,-115.4,64.75,-115.3,64.8,-115.35,64.775,26.41,25,True,,0,1,1,0,66.87,1.55,43.62
